Year,RWS,Ispredicted,Isdriedout,VolumeChange,LakeName,LakeType,VolumeRate,VolumePvalue,
1992,-0.734052,0,0,,Large,Unknown,-6.58837,0,
1993,-5.733,0,0,-4.99895,,,,,
1994,-12.6834,0,0,-6.95037,,,,,
1995,-35.973,0,0,-23.2896,,,,,
1996,-57.2879,0,0,-21.3149,,,,,
1997,-74.0229,0,0,-16.7349,,,,,
1998,-81.0604,0,0,-7.03756,,,,,
1999,-96.7731,0,0,-15.7127,,,,,
2000,-114.96,0,0,-18.1872,,,,,
2001,-132.938,0,0,-17.9777,,,,,
2002,-140.061,0,0,-7.12265,,,,,
2003,-142.939,0,0,-2.87808,,,,,
2004,-149.007,0,0,-6.06808,,,,,
2005,-152.695,0,0,-3.68795,,,,,
2006,-163.729,0,0,-11.0339,,,,,
2007,-172.154,0,0,-8.42545,,,,,
2008,-180.013,0,0,-7.8591,,,,,
2009,-182.253,0,0,-2.23937,,,,,
2010,-179.392,0,0,2.86108,,,,,
2011,-182.8,0,0,-3.4088,,,,,
2012,-186.134,0,0,-3.33344,,,,,
2013,-188.939,0,0,-2.80526,,,,,
2014,-191.755,0,0,-2.81566,,,,,
2015,-192.864,0,0,-1.10901,,,,,
2016,-195.1,0,0,-2.23664,,,,,
2017,-194.975,0,0,0.125517,,,,,
2018,-197.209,0,0,-2.23409,,,,,
2019,-197.639,0,0,-0.430209,,,,,
