Time,TimeNum,LakeLevel,LakeAreaOri,NonCCover,LakeArea,LevelErr,Hypsometry_Pro,Hypsometry_goodonly,Hypsometry_good_bad,AreaInHypsometry,LevelSource:Dahiti
1992001,0,,,,,,R_square,0.916178,0.949141,good_bad,
1992032,1,,,,,,Num,129,195,0.949141,
1992061,2,,,,,,Level_low,27.8342,27.8342,,
1992092,3,,,,,,Level_high,37.7658,37.7767,,
1992122,4,,,,,,Level_length,9.9316,9.9425,,
1992153,5,,,,,,PercentLen(Comparelevelmin_max),0.00098952,0.000990606,,
1992183,6,,,,,,,,,,
1992214,7,,,,,,,,,,
1992245,8,37.789,24974.3,0.972917,,0.000570088,,,,,
1992275,9,37.7282,24777.8,0.972592,24777.8,0.000407922,,,,,
1992306,10,37.665,24670.3,0.858758,24670.3,0.000363318,,,,,
1992336,11,37.7147,,,,0.000390868,,,,,
1993001,12,37.6533,,,,0.00242458,,,,,
1993032,13,37.7665,,,,0.0143344,,,,,
1993060,14,37.79,,,,0.00239361,,,,,
1993091,15,37.6944,24930.8,0.986809,24930.8,0.000656963,,,,,
1993121,16,37.7767,24710.3,0.874592,24710.3,0.000410623,,,,,
1993152,17,37.7658,24790.7,0.990928,24790.7,0.000363868,,,,,
1993182,18,37.7608,24765.2,0.999069,24765.2,0.000968102,,,,,
1993213,19,37.6133,24687.6,1.00065,24687.6,0.000345821,,,,,
1993244,20,37.4795,,,,0.000303681,,,,,
1993274,21,37.3505,,,,0.0121489,,,,,
1993305,22,37.3458,,,,0.00541805,,,,,
1993335,23,37.4377,,,,0.00472855,,,,,
1994001,24,37.411,,,,0.00291943,,,,,
1994032,25,37.6638,,,,0.0018109,,,,,
1994060,26,37.6613,,,,0.00254779,,,,,
1994091,27,37.631,,,,0.00472885,,,,,
1994121,28,37.723,,,,0.000367045,,,,,
1994152,29,37.6307,24726.4,0.823228,24726.4,0.0169958,,,,,
1994182,30,37.5968,24561.5,0.705627,24561.5,0.000410853,,,,,
1994213,31,37.5235,24226.7,0.96424,24226.7,0.000379693,,,,,
