Year,Value,Value2,Value3,Trend,Trend2,Trend3,
1992,1133.72,0.950937,1178.01,1.85487,0.00155582,1.92733,
1993,1133.11,0.950423,1177.37,,,,
1994,1195.19,1.00249,1241.87,,,,
1995,1162.61,0.975166,1208.02,,,,
1996,1183.38,0.992586,1229.6,,,,
1997,1152.9,0.967025,1197.94,,,,
1998,1195.14,1.00245,1241.82,,,,
1999,1225.71,1.0281,1273.59,,,,
2000,1222.24,1.02518,1269.98,,,,
2001,1146.99,0.96207,1191.8,,,,
2002,1121.41,0.940606,1165.21,,,,
2003,1213.86,1.01815,1261.27,,,,
2004,1197.65,1.00456,1244.43,,,,
2005,1242.05,1.0418,1290.56,,,,
2006,1193.5,1.00108,1240.12,,,,
2007,1244.24,1.04364,1292.85,,,,
2008,1150.95,0.965385,1195.91,,,,
2009,1189.92,0.998076,1236.4,,,,
2010,1242.68,1.04233,1291.22,,,,
2011,1193.94,1.00145,1240.58,,,,
2012,1217.36,1.02109,1264.91,,,,
2013,1223.31,1.02608,1271.1,,,,
2014,1185.03,0.993974,1231.32,,,,
2015,1183.99,0.993098,1230.24,,,,
2016,1201.21,1.00755,1248.13,,,,
2017,1228.08,1.03009,1276.06,,,,
2018,1189.99,0.998133,1236.47,,,,
2019,1211.88,1.0165,1259.22,,,,
